Day fraction since midnight on 8/7/2024,raw (L/min),filter (volts),sludge (volts),turbidityInfluent (NTU),turbidityEffluent (NTU),turbidityClarified (NTU),turbidityTubeSettler (),coagulantDoseController (rpm),masterflexPumpController (),coagulantDose(mg/L) (),coagDoseToFlow(mL/s) (),setGlobalVariables (),flocculatedTurbidity (NTU),flocSaturation (),tubeSettlerController (),shiftedInfluent (NTU),DOM (mg/L)
0.3782478,30.21133995,0.38813683,0.40603846,29.51979446,2.38714099,0.0,2.27672219,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37830566,30.22210312,0.38825282,0.40377256,29.51979999,2.33400297,0.0,2.43726397,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37836353,30.2827282,0.38842857,0.40321296,29.51979999,2.33520699,0.0,2.56334996,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37842139,30.33427811,0.38825798,0.40179235,28.26229858,2.31332135,0.0,3.21962452,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37847927,30.34215736,0.38826862,0.40437788,27.95107269,2.31332135,9.99e-06,2.2143681,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37853714,30.40542793,0.3883476,0.40374833,27.68848419,2.34524989,0.0,2.20370507,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37859502,30.35828972,0.38829017,0.40479931,27.68848419,2.34524989,0.0,1.42473412,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37865289,30.35360336,0.38825566,0.4009009,27.56264877,2.40600824,0.0,0.96529359,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37871076,30.31439209,0.38833934,0.40675086,27.57164383,2.38047409,0.0,0.71496147,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37876864,30.24779129,0.38827288,0.39865243,27.36988068,2.36909437,0.0,0.62705946,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
